tweet,compound
"I think #Trump has been taking testosterone shots. They put it right in your butt! He’s 74 years old. He should be asleep, but he keeps talking! #ElectionNight",0.0
VOTE! #VOTE #BidenHarris #Biden2020 #JoeBiden https://t.co/6KwGg7Tnld,0.0
"He’s still your president 😏
#Trump",0.0
Already companies are getting ready for #Biden agenda. Where can lead to deeper debt in America.,0.0
#twitter hides #trump tweet attacking Supreme Court’s decision on Pennsylvania ballots https://t.co/K2SGVDVnVn,-0.0258
Typical #Trump.. #VoteHimOut #VoteHimOutandLockHimUp https://t.co/GHFnCd2jt5,0.0
'The place where we put this country back on track': How Joe #Biden turned #Georgia purple https://t.co/nvTL33tL2w,0.0
"@dancohen3000 @backboneprog maybe speak to Gantz, Netanyahu is as toxic as #tRump",0.0
"@RedaMor_ And we’ll do it Nipsey’s Anthem too #VoteThemAllOut #VoteBidenHarris #Biden #BidenHarrisLandslide2020 #BidenHarris2020

https://t.co/SfBnruHYIY #FDT",0.0
LOW ENERGY. Based on his answers so far it appears it is WAY past his bedtime. 💤 #JoeBiden #ampFW #DebateTonight #Debate2020 https://t.co/f1MnDx1x7s,0.0
"1000's at #BeverlyHills #MAGA rally for Pres. #Trump in #liberal #California, 10/24/20.

And the #POTUS wasn't even there. 
YouTube video: Robert Lam https://t.co/5Q1IIYOxl9",0.0
#Election2020results #CallTheRace #Trump @realDonaldTrump @DonaldJTrumpJr https://t.co/nHweDcpypv,0.0
It started with the #TeaParty and has been preached from #WhiteEvangelical pulpits since. It’s still shocking that #Christians could justify voting for #Trump. https://t.co/6FJNzRN6tp,0.0
"@G_CURLEY @HowieCarrShow @Newsmax 4pm.
#HunterBiden text.  
Pop #JoeBiden gets half of Hunter's salary. #RICO https://t.co/ErWwzvMGHS",0.0
This checks out. #Biden  https://t.co/pXshgAu43h,0.0
"#Trump needs to run up the numbers in Wright, Scott and Carver counties in #Minnesota.  https://t.co/4kmTcYqXM7",0.0
"#Biden ""#Leftists"". https://t.co/3BVgg439FH",0.0
#JoeBiden https://t.co/gHEMlrRBbQ,0.0
#Biden has had some 💪 moments‼️,0.0
@HuffPostPol Trump Agonistes: An American Epic In Three Acts - Essential reading on the rise and fall of #DonaldTrump  @POTUS https://t.co/TMoD1OBv1H via @nyi_news Follow the New York Independent on Twitter.,0.0
"#Elections2020 ils sont pas encore élus, ils annoncent la couleur !!, les démocrates sont comme #islamogauchisme Français 🤬🤬🤬🤬#Trump @TrumpFrance @TrumpFranceInfo https://t.co/gCdyhs1y0u",0.0
@redwinepolitics So how come #Trump is always trailing debt after him like the toilet paper on his shoe??? But he sits on golden toilets.  Maybe he should have a yard sale instead of the RNC raising $$$ for him! #RNC #Enablers bailing #DonnieOneTerm out.,0.0
#BUMPS FOR #BIDEN baby,0.0
"Trump Sues Pennsylvania, Georgia, Michigan; Seeks Wisconsin Recount - NPR #Whitehouse #Trump #Government https://t.co/eoHRJhgpLh",0.0
@realDonaldTrump #Trump 🙏🏻 https://t.co/49M8qt44Hy,0.0
"Gun pon waist, nuh smile pon mi face. #Biden/ #Harris and #MarkKelly https://t.co/duSvEozmEs",0.0258
"Los republicanos aprovechan el efecto Trump y resisten en el Congreso
#ImpactoLatino #Politica #Republicanos #DonaldTrump  #Congreso #Senado #Elecciones #USElection2020 
https://t.co/y8dBAgvp1x https://t.co/EPaUfxrR5x",0.0
#Election2020 #JoeBiden #KamalaHarrisVP https://t.co/JS9EwNYzqJ,0.0
"@realDonaldTrump #Trump is the end of America, period.",0.0
"WOAHHHH. 
#Biden
#BidenBombshell https://t.co/s6YY5uBEWp",0.0
#JoeBiden https://t.co/TtzMgr5J9n,0.0
Mano quem lambe saco de #Trump e #Bolsonaro sofre de síndrome de Estocolmo.,0.0
@BillOReilly It's President Trump. #POTUS #realDonaldTrump #DonaldTrump #presidentialtownhall #PresidentTrump,0.0
###Biden vs. Nuns https://t.co/ZtDo4ctHX6,0.0
"Watch Larry rip #TMZ to shreds! 👊
-
#leadership #RecordOfYouth #Trump #VoteEarly #MAGA Follow @DiscoverBlogNY #socialnetworktrends https://t.co/P0tIAt9s7J",0.0
After tonight we’ll just be Joe Biden our time till the inauguration. #JoeBiden #ByeDon,0.0
"#Houston voters are turning out in record numbers. Could they flip #Texas for #Biden? 
https://t.co/B9CLCcnTct via @nbcnews",0.0
"It is demonstrated that with #trump we are on the threshold of a #supremacist #genocide that precedes a world war

#AllVotesMatter #AllVotesMustBeCounted #CountEveryVote #USA #dictatorship #SaveDemocracy",-0.0258
The Candidates: #JoeBiden’s Plans https://t.co/1bWXf1VRSX,0.0
"Here's a clip of a now-#exiled #DonaldTrump trying to speak #Hindi... https://t.co/Wp4XRwBLPu via @YouTube, @ABCNetwork and @JimmyKimmelLive",0.0
“Don’t call it a comeback/I’ve been here for years.” #Biden #Biden2020,0.0
❤️🙏🏼🇺🇸 #Godwins #Trump https://t.co/aBdeQ7dIas,0.0
"Joe Is ""The BIG GUY""
#JoeWillLeadUs #JoeBiden
#Biden #BidenHarris #BidenHarris2020 #HunterBiden #HunterBidenEmails #Hunterbidenlaptop https://t.co/tl5epb4iVP",0.0
#trump #texas #gop #dnc #vote,0.0
This is today’s GOP. #trump #gop #maga https://t.co/cnYcBn0dbe,0.0
"Right On!
#Election2020 #Elections2020 #VoteHimOut #BidenHarris2020 #Biden2020 #JoeBiden #COVID19 #IVoted #CountEveryVote #AMERICAAGAINANDAGAIN https://t.co/wpvVd7W9GD https://t.co/dbjZVxiLdN",0.0
